question,answer,A,B,C,D
In what 2005 movie did Will Ferrell play a rocker who wore eyeliner?,Winter Passing,Kicking  Screaming,The Wendell Baker Story,Bewitched,Winter Passing
Will Ferrell appeared in Austin Powers: International Man of Mystery.,True,True,False,,
For what movie did Meryl Streep win her first Academy Award for Best Actress?,Sophies Choice,Sophies Choice,The Bridges of Madison County,Music of the Heart,Kramer vs. Kramer
What famous actress was originally chosen for the role of Roberta Guaspari Demetras for the 1999 movie Music of the Heart? (the role was eventually given to Meryl Streep),Madonna,Celine Dion,Cher,Sheryl Crow,Madonna
What disease is Meryl Streeps character in the 1998 movie One True Thing diagnosed with?,Cancer,Cancer,Diabetes,AIDS,Alzheimers disease
What character does Meryl Streep portray in the 2002 movie The Hours?,Clarissa Vaughan,Laura Brown,Vanessa Bell,Clarissa Vaughan,Virginia Woolf
In what Robert De Niro movie does Meryl Streep play a supporting role as the female character Linda?,The Deer Hunter,The Deer Hunter,True Confessions,Angel Heart,Falling in Love
"How many Academy Awards did the 1985 movie Out of Africa, starring Meryl Streep and Robert Redford, receive?",Seven,Five,Seven,Fifteen,None
With whom does Meryl Streeps character Francesca from the movie The Bridges of Madison County fall in love?,A photographer,Her brother,A homeless man,A photographer,A construction worker
How many children does Meryl Streeps character have in the 2006 comedy-drama The Devil Wears Prada?,Twin daughters,Twin daughters,A son,None,Three boys
What character did Meryl Streep voice in the 2006 computer-animated movie The Ant Bully?,The Queen Ant,The Queen Ant,Doreen Nickle,Kreela,Hova
In what movie did Meryl Streep play a Catholic nun called Sister Aloysius?,Doubt,Doubt,Death Becomes Her,Dark Matter,A Prairie Home Companion
Who is Jack Blacks partner in the duo Tenacious D?,Kyle Gas,Jack White,Kyle Gas,Garth Brooks,Kyle Bass
"In the movie Tenacious D in The Pick of Destiny, who plays the part of young Jack Blacks father?",Meat Loaf,Alice Cooper,Ozzy Osbourne,Gene Simmons,Meat Loaf
Jack Blacks full name is Theodore Jack Black.,False,False,True,,
What is the name of Jack Black and Tanya Hadens first child?,Samuel,David,Jonathan,Samuel,Jessica
What body organ did Jack Black have removed?,Gall Bladder,Pancreas,Spleen,A kidney,Gall Bladder
What is the profession of Jack Blacks parents?,Rocket scientists,Marine biologist,Journalists,Rocket scientists,Dentists
Jack Blacks wife Tanya Haden is a twin.,False,True,False,,
Which of the following movies has Jack Black not played a part in?,Powder,Shark Tale,School of Rock,Nacho Libre,Powder
Jack Blacks father is Jewish and his mother converted to Judaism.,False,False,True,,
Jack Black was the host of The Nickelodeon Kids Choice Awards show in 2006.,True,False,True,,
When and where was actor Leonard Nimoy born?,"26 March 1931 in Boston, Massachusetts","26 March 1934 in Vancover, British Columbia, Canada","26 March 1931 in Boston, Massachusetts","26 March 1935 in Hartford, Connnecticut","26 March 1925 in Toronto, Ottawa, Canada"
Leonard Nimoy and fellow Star Trek star William Shatner were born only 4 days apart to parents of the same ethnic group.,True,True,False,,
Leonard Nimoy and fellow Star Trek actor William Shatner suffer from the same ailment. What is it?,Tinnitus,Tinnitus,Peripheral neuropathy,Shingles,Diabetes
"Mr. (or commonly referred to as Dr.) Spock, portrayed by Leonard Nimoy, puts his fingers into a certain position whenever he says, live long and prosper. Where did he get this gesture from?",From his religion,From a signal used by referees in ice hockey,"From a gesture used by his acting teacher meaning, Slow!",From his religion,From the V for the victory signal of WWII
"When the Star Trek series ended, what did Leonard Nimoy started doing to support himself?",He opened a pet store.,He directed movie trailers.,He opened a pet store.,He became a ghost writer for several off-Broadway plays.,He ghost-wrote several episodes of TJ Hooker and Mission: Impossible.
"Who dreamed up the haircut that Leonard Nimoys character on Star Trek, Dr. Spock wore?",Nimoys father,Gene Rodenberry,Nimoys father,William Shatner,Norman Lear
Which statement about Leonard Nimoy is untrue?,Both William Shatner and Leonard Nimoy have been married 4 times.,Leonard Nimoy is the only Star trek cast member to be in every episode.,Leonard Nimoy has an honorary doctorate.,Both William Shatner and Leonard Nimoy have been married 4 times.,Shatner and Nimoy are both vegetarians.
For which Rock and Pop band did Leonard Nimoy direct a music video?,The Bangles,Bananarama,Blondie,The Beatles,The Bangles
Leonard Nimoy was the tallest member of the regular Star Trek cast.,True,True,False,,
In which of these series did Leoanrd Nimoy not appear?,American Dad,Mission: Impossible,American Dad,T. J. Hooker,Gunsmoke
"In the Star Trek TV series, which actors portrayed Mr. Spocks parents?",Jane Wyatt and Mark Leonard,Christopher Plummer and Rosana DeSoto,Ward Bond and Elizabeth Rogers,Kurtwood Smith and Grace Lee Whiteley,Jane Wyatt and Mark Leonard
Finish the chorus of System of a Downs song B.Y.O.B from their album Mezmerize:,Intentions,Intentions,Inventions,Ingredients,Freedom
Andy Khachaturian is a former drummer of alternative metal band System of a Down.,True,True,False,,
"Shavo Odadjian, famous as the bassist of System of a Down, was born in what year?",1974,1972,1976,1974,1970
The albums Hypnotize and Mezmerize were both released in the same year by alternative metal band System of a Down.,True,True,False,,
Which song by System of a Down contains the following lines:,Vicinity of Obscenity,Shes Like Heroin,B.Y.O. B,Vicinity of Obscenity,Radio/Video
"Complete these lyrics from Chop Suey!, the first single from System of a Downs album Toxicity:",fable,maple,table,fable,cable
What is the missing word in these lyrics from System of a Downs song Chic N Stu:,hard,hard,soft,smart,dark
Complete the chorus of System of a Downs song This Cocaine Makes Me Feel Like Im On This Song:,Fix,Pics,Mix,Fix,Mixes
For what movie did Robin Williams receive his first Academy Award?,Good Will Hunting,Dead Poets Society,Good Will Hunting,Moscow on the Hudson,Patch Adams
"How does Chris find out that Mrs. Doubtfire is a man in the 1993 movie Mrs. Doubtfire, starring Robin Williams?",He catches her urinating upright.,He catches her urinating upright.,He hears her talk on the phone.,He finds photos in her purse.,He sees her dressing up.
What popular female singer and actress appeared alongside Robin Williams in the 1996 movie Jack?,Jennifer Lopez,Mariah Carey,Madonna,Jennifer Lopez,Beyonce
"What was the tagline on the theatrical poster of the 1998 dramedy movie Patch Adams, starring Robin Williams?",Laughter is contagious.,Save our souls.,The heart comes first.,Laughter is contagious.,The most precious things are invisible.
What is the name of the android portrayed by Robin Williams in the 1999 movie Bicentennial Man?,Andrew,Andrew,Partick,Steve,George
What character did Robin Williams voice in the 1992 Walt Disney animated movie Aladdin?,The Genie,Prince Ali Ababwa,The Genie,Jafar,Iago
"What actor was rumored to have been considered for the leading role in the 1989 movie Dead Poets Society, starring Robin Williams?",All of these,Bill Murray,Liam Neeson,All of these,Dustin Hoffman
What Academy Award-winning actor co-starred with Robin Williams in the 1990 drama movie Awakenings?,Robert De Niro,Dustin Hoffman,Christopher Walken,Robert De Niro,Tom Hanks
"Why doesnt Kenneth Zevo want his son to inherit his toy factory in the 1992 comedy movie Toys, starring Robin Williams?",Because he is immature,Because he spends too much money,Because hes incompetent,Because he has a disease,Because he is immature
What character did Robin Williams portray in the 1991 movie Hook?,Peter Pan,Tootles,Jack Banning,Peter Pan,Captain Hook
When was American actor Adam Sandler born?,"September 9th, 1966","September 11th, 1966","September 9th, 1966","November 23,1971","October 5th, 1965"
Where was actor Adam Sandler born?,"Brooklyn, New York","Boston, Mass","Brooklyn, New York","Chicago, Illinois","New York, New york"
Adam Sandler had a role in the movie The Hot Chick.,True,True,False,,
In which of these movies did Adam Sandler NOT have a part?,Good Luck Chuck,Blossoms And Blood,Good Luck Chuck,The Animal,Coneheads
What was the first movie Adam Sandler had a major role in?,Billy Madison,The WaterBoy,Billy Madison,8 crazie nights,Big Daddy
Actor Adam Sandler is of Jewish origin.,True,False,True,,
"Actor Adam Sandler had his first girlfriend in the sixth grade, but sadly, he was dumped one night during dinner.",True,False,True,,
Adam Sandler started performing in comedy clubs by taking the stage at a club in New York.,False,True,False,,
What country was Heath Ledger born in?,Australia,Australia,New Zealand,England,Wales
This well known Actor/ Director/ Producer  Icon was the co-star with Heath Ledger in the movie The Patriot.,Mel Gibson,James Cann,Mel Gibson,Will Smith,Robert Redford
Which of the following names is NOT one of the names used by Heath Ledgers character in the movie A Knights Tale?,Wart,William Thatcher,Sir Ulrich von Lichtenstein,Wart,Sir William Thatcher
Heath Ledger portrayed Harry Faversham in the 2002 remake of this Classic Film.,The Four Feathers,Dial M For Murder,The Four Feathers,Treasure Of The Sierra Madre,Casablanca
For which movie was Heath Ledger nominated for an Academy Award for Best Actor?,Brokeback Mountain,Brokeback Mountain,10 Things I Hate About You,A Knights Tale,The Patriot
"Heath Ledger suffered from this (these) ailments, which may have lead to his death.","Insomnia, Anxiety, Depression","Asthma, Pulmonary Emphysema",Rickets Disease,"Insomnia, Anxiety, Depression","Heart Arrhythmia, Hypertension"
Heath Ledger is survived by a daughter named Matilda Rose Ledger.,True,False,True,,
Which of these did Heath Ledger NOT accomplish during his lifetime.,Golden Globe for Best Actor,Act in a Music Video directed by Terry Gilliam,Golden Globe for Best Actor,Direct Music Videos,Junior Chess Champion
This member of the Beat Movement lived briefly with The Grateful Dead and is immortalised in their song Thats It For the Other One.,Neal Cassady,Greg Corso,Jack Kerouac,Allen Ginsberg,Neal Cassady
How many different musicians played the keyboards as members of The Grateful Dead?,6,6,8,4,2
"In 1967, The Grateful Dead performed at the legendary Monterey Pop Festival.",True,False,True,,
"Friend of the Devil, Box of Rain and Attics of My Life are songs by The Grateful Dead, included in which album?",American Beauty,Anthem of the Sun,American Beauty,Without a Net,Infrared Roses
"The Grateful Deads final concert was on July 9th, 1995, in which city?",Chicago,Chicago,New York,Los Angeles,San Francisco
"Following Jerry Garcias death in 1995, some of the remaining members of The Grateful Dead occasionally toured under what name?",The Other Ones,The Other Ones,The Remaining Ones,The Dead Ones,The Alive
Which founding member of The Grateful Dead once dated Janis Joplin?,Ron Pigpen McKernan,Ron Pigpen McKernan,Bill Kreutzman,Bob Weir,Jerry Garcia
Name the movie for which Albert Finney did NOT receive an Academy Award nomination.,Big Fish,Tom Jones,Erin Brockovich,Big Fish,Murder on the Orient Express
Albert Finney won an Emmy Award for outstanding actor in a 2002 mini-series for which character?,Winston Churchill,Ebenezer Scrooge,Hercule Poirot,Tom Jones,Winston Churchill
In what 2000 TV series did Albert Finney play a Cornish country gentlemen looking after his grand nephew?,My Uncle Silas,"Uncle, Uncle, Uncle",Tom Jones,My Uncle Silas,Cold Lazarus
"Albert Finney passed away in June of 2006, within weeks of fellow actor and friend Alec Guinness.",False,False,True,,
Which statement regarding actor John Lithgow is correct?,"John Arthur Lithgow was born in 1945 in Rochester, New York.","John Arthur Lithgow was born in 1945 in Rochester, New York.","John Allen Lithgow was born in 1943 in  Hartfod, Connecticut.","John Arliss Lithgow was born in 1942 in Shaker Heoghts, Ohio.","John Alfred Lithgow was born in 1944 in Chelmsford, Massachusetts."
John Lithgows mother was a retired actress and his father ran a theater.,True,True,False,,
John Lithgow graduated magna cum laude with a degree in history and literature from Harvard and is a licensed Pastor.,True,False,True,,
"In 1979 John Lithgow had a role in a movie about dancers starring Roy Scheider, Jessica Lange, Ann Reinking, Cliff Gorman, Ben Vereen and Max Wright. What was the name of this movie?",All That Jazz,Chicago,Meet Me in St. Louis,All That Jazz,Legs Donavan
In 1981John Lithgow played a murderer in this John Travolta film.,Blow Out,Blow Up,Mr. Nash,Hangman,Blow Out
"In 1982 John Lithgow acted in this movie about a womans struggles which starred Jill Clayburgh, Nicol Williamson and Diane Wiest.",Im Dancing as Fast as I Can,Im Dancing as Fast as I Can,A Day in My Life,An Unmarried Woman,This is My Life
"In 1982 John Lithgow played Robert/Roberta Muldoon, a former All-Pro NFL player who has a sex change operation. What is the name of this movie that starred Robin Williams, Glenn Close and Warren Berlinger?",The World According to Garp,The World According to Garp,Patch Adams,Out and In,In and Out
"In 1983 John Lithgow played Sam Burns in this chick movie that starred Shirley MacLaine, Debra Winger, Jeff Daniels and Jack Nicholson.",Terms of Endearment,Terms of Endearment,Thelma and Louise,White Oleander,Leaves of  Autumn
John Lithgow appeared as a  judge in this1998 film starring John Travolta. The film was about the legal implications of the dumping of industrial chemicals.,A Civil Action,Love Canal,Corporate Practice,The Rainmaker,A Civil Action
In 2001 John Lithgow added his voice to the wonderful Shrek. What character did he voice?,Lord Farquaad,Donkey,Lord Farquaad,Monsieur Hood,Shrek
How many Oscars did John Lithgow win in the 1980s?,0,3,2,1,0
